大会年度,セッションID,発表ID,発表タイトル,発表サブタイトル,キーワード,要約
2025,3F1-GS-10,3F1-GS-10-04,生成AI支援下での工学設計における発散的思考の脳内メカニズムの解明,,創造性、生成AI、発散的思考、製品設計,工学設計における発散的思考では，記憶を探る脳領域や，思考に制限をかける脳領域などの関与が示唆されている．一方，現在では発散的思考において生成AIの活用が拡大しているが，実際にAIとの協調思考時の脳内メカニズムの十分な知見は得られていない．そこで，本研究では，工学設計における発散的思考の際に，1人で思考する場合と，AIを利用して思考する場合のパフォーマンスの違い，さらには脳活動の違いを調べた．実験で使用した創造的思考課題では，ある社会問題が提示されたのち，実験参加者にはそれを解決できるような製品コンセプトを，AIあり条件，AIなし条件で考案してもらった．この方法の実現のため，本研究では創造的思考課題におけるGPT-4oの応答システムを実装した．実験には男性学生36名が参加し，課題遂行時の脳波を取得・解析した．その結果，AIと協調する際には，被験者のパフォーマンスは向上するが，左の下前頭回が活性化することで，発散的思考は抑制されている可能性が示された．本研究により，AIとの協調作業時の脳内メカニズムについての理解を深め，AIによる工学設計の支援方法の構築に寄与することが期待される．
2025,3F1-GS-10,3F1-GS-10-05,生成AIを活用したインフラ管理スクリプトの生成とクラウドに慣れたユーザでも使える提供方式の提案,,生成AI、インフラ管理、スクリプト生成,ITシステムの管理を容易にするパブリッククラウドの普及に伴い，その容易な管理に慣れたIT管理者が増え，専門知識を持つIT管理者が減少している。本研究の目的は，専門知識を持たない顧客がITシステムの管理を自動化するためのスクリプトを生成する方式の提案である。ITシステムのAPIを使用するスクリプトを生成するために，サンプルコードを使用したRAG(Retrieval Augmented Generation)を提案する。各サンプルコードは1つのAPIのみを使用する。生成AIは，これらのサンプルコードを組み合わせて複数のAPIを使用するスクリプトを生成する。また，パブリッククラウドサービスのパラメータと同等レベルのパラメータとなるチャットボットによりスクリプトを提供する。ブロックストレージの管理向けのプロトタイプを試作した。GPT4を使用した場合，ほとんど修正せずに実行できるスクリプトを生成することを示した。このとき，手動でスクリプトを作成する場合と比べ75%のスクリプト作成工数を削減できる見通しを得た。
2025,3F3-LS-11,3F3-LS-11-01,説明可能なSLM (eXplainable SLM: XSLM) の可能性と未来の展望,,,近年、軽量ながら高性能な SLM (Small Language Model) が増加している。SLM は LLM に比べて計算コストが低く、デプロイが容易であるというメリットを有しており、この特性は LLM において課題とされている「説明可能性」の向上にも寄与する。SLM はパラメータ数が少なく、学習による入出力の変化を追跡しやすいため、モデルの判断に影響を与えた特徴を解析しやすく、その結果、説明可能性の向上が期待される。本講演では、SLM の概要、説明可能なAIを実現する技術、そして説明可能な SLM (eXplainable SLM: XSLM) に関する取り組みについて紹介する。
2025,3F4-OS-42a,3F4-OS-42a-01,中国系大規模言語モデルにおける検閲的ファインチューニング,,大規模言語モデル、中国、検閲、ファインチューニング,中国で開発される大規模言語モデル(LLM)には「社会主義核心価値観を堅持する」ことが求められている。先行研究は敏感質問を構築し、その問題を検討してきた。本研究では検閲の内容を更に詳細に明らかにすることを目的として、まず2024年2月に公表された生成式人工智能服務安全基本要求を紹介する。次に中国電子技術標準化研究院と復旦大学が作成したベンチマーク問題集を利用してLLMを評価した。分析対象としたのは主要な中国系オープンソースLLM、それをもとに日本向けにファインチューニングされた派生系モデル、そして欧米系LLMである。分析の結果、中国系モデルおよび派生系モデルにおいて検閲の形跡が示された。これらのLLMを利用するうえで、中国系モデルに施されているファインチューニングを認識し、用途に応じて十分な確認を行っていくべきことが示唆される。
2025,3F4-OS-42a,3F4-OS-42a-02,「著作権侵害抑制のための負の文脈内学習」,,大規模言語モデル、文脈内学習、対照的デコーディング,本研究は、大規模言語モデル（LLMs）における新しい逆学習手法を提案する。Negative Prompts を作成し適用することで、著作権で保護されたコンテンツの無許可の再生成に対処するものである。LLM の再学習は膨大な計算コストがかかるため非現実的であり、内部パラメータにアクセスできないブラックボックス型 LLM にも適用可能な手法が求められる。提案手法は「Contrastive Decoding」と「In-Context Learning」を組み合わせて Negative Prompts を生成し、パラメータの更新を必要とせず特定の情報を選択的に忘却させることが可能である。Meta の Llama-3 8b モデルおよび OpenAI の GPT-4o モデルを用いた評価により、著作権保護コンテンツの生成を抑制しつつ、モデルの言語性能を維持できることを示した。また、提案手法はバイアス軽減や出力の倫理的整合性を確保するための応用可能性も持つ。提案手法は、LLM における忘却のための実用的かつスケーラブルな解決策を提供するものである。
2025,3F4-OS-42a,3F4-OS-42a-03,心理学的手法による大規模言語モデルの公平性評価,,人工知能、大規模言語モデル、AIガバナンス、公平性評価、心理学,大規模言語モデル（LLM）の公平性を確保することは、AIガバナンスにおける課題の一つである. 本稿では、既存研究で心理学の手法を用いて発見されたLLMの特性を活用し、新たな公平性の指標の可能性を見出すことを目的とする.その特性の一つとして、特定の性別や人種を模倣する指示をLLMに与えた場合、指示内容から特定の質問に対する正答率に想定外の差異がでることが示されている. この特性を利用することで、LLMが内在的に持つ隠れたステレオタイプを測定する指標として活用できる可能性を示す. また別の特性として、STICSAスコアが高い（「不安」な状態の）場合に、LLMの偏見を持った回答をする割合も高くなるというが示されている. この関係性を基に、多様な入力に対してSTICSAスコアを偏見評価指標として活用できる可能性を示す. 本稿の結論として、これらのLLMに関する心理学的特性をAIガバナンスにおける公平性評価指標として適用することの意義を論じるとともに、その可能性を見出す.
2025,3F4-OS-42a,3F4-OS-42a-04,安全な多言語・多文化対応の大規模言語モデルの構築,,大規模言語モデル、安全性、多文化・多言語,生成人工知能（AI）の利用が世界的に広まるにつれ、AIモデルが地域ごとの文化や言語におけるリスクや懸念を敏感に反映できることがますます重要になっている。何がリスクや有害なコンテンツなのかを地域・文化ごとに特定する作業を更新し続けていくことが必要となり、そのためには多様な分野や専門性を持つ人との協業が重要となる。本発表では2024年11月から開催されたシンガポール政府のイニシアティブの「AI安全性レッドチームチャレンジ」の参加した知見から得られた、国際的な議論や学際的な協力体制における課題について考察する。
2025,3F4-OS-42a,3F4-OS-42a-05,生成的推薦の人気バイアスの分析：暗記の観点から,,生成的推薦、暗記、人気バイアス、大規模言語モデル、ニュース,大規模言語モデルの推薦への応用に注目が集まる中，公平性に関する議論は発展途上である．本研究では，大規模言語モデルの課題の一つとして指摘されている訓練データの暗記に着目し，生成的推薦システムを分析する．具体的に日本語ニュースメディアのログデータを用いて，ユーザが閲覧する記事タイトルの変遷を予測するように Llama 3 をファインチューニングし，訓練データの暗記を定量化した．実験の結果，人気記事が過度に推薦されるバイアスが存在し，その要因が訓練データの暗記の観点で解釈できると示唆された．解釈を活用し，暗記の対応策として知られる重複排除が，生成的推薦の人気バイアスの軽減に利用可能であることも実証した．
2025,3F5-OS-42b,3F5-OS-42b-01,AIの安全性に関する世界の動きとAI Safety Institute（AISI）について,,人工知能、AIセーフティ、AIリスク,生成AIや基盤モデルの進化に伴うAI技術の高度化・汎用化により，その利用範囲が急速に拡大するとともにAIのリスクに関しても関心が高まっている．AI技術の発展のためには安心安全なAI活用の実現が不可欠であり，そのためにはどのようなリスクが現在顕在化しているのかの整理と，今後どのようなリスクが起こり得るのかについての議論が急務である，また，技術的にそれらのリスクをどのように捉えることが可能かと言うことも検討していく必要がある．本稿では，そのようなAI安全性について情報のハブとなるべく設立されたAIセーフティイン・スティテュート（AISI）の取り組みを紹介するとともに，今後のAI安全性について研究業界にどのような活動をしてもらいたいか述べる．加えて，国際的なAIセーフティの議論や国際AISIネットワークの状況を概観し，将来的なAIセーフティの方向性について考察する．
2025,3F5-OS-42b,3F5-OS-42b-02,AISI国際ネットワークにおける共同テスト演習について,,人工知能、AIセーフティ、基盤モデル評価、多言語、サイバーセキュリティ,AI技術の急速な発展に伴い，そのリスク管理の重要性が高まっている．国際的な議論を活性化し共通理解を促進するため，米国の呼びかけでAISI国際ネットワークが発足した．AISI国際ネットワークの技術トラックの一つでは，多言語対応（Multilingual）とサイバーセキュリティ（Cybersecurity）を主なテーマとし，各国AISIと技術的な議論を深めている．11月に第一回国際AISIネットワーク会合となるサンフランシスコ会議が開催され，2025年2月のフランスAIアクションサミットに合わせて第二回会合が開催された．本稿では，それぞれのテーマに関する取り組みの概要や得られた結果，今後の展望について概説する．
2025,3F5-OS-42b,3F5-OS-42b-03,大規模言語モデルのジェイルブレイクに対するインコンテキスト防御の役割明記による改良,,大規模言語モデル、AIの安全性、信頼できるAI、ジェイルブレイク、インコンテキスト防御,大規模言語モデル(Large Language Model，LLM)は社会の幅広い分野で応用されている．一方，LLMに特殊なプロンプトを入力し，設計上意図されていない出力を引き出す，ジェイルブレイクと呼ばれる攻撃が報告されており，LLMの脆弱性として問題視されている．ジェイルブレイクには多種多様な攻撃手法が存在し，訓練時に対策を網羅することは困難である．そこで，模範的な回答例や望ましい挙動例をユーザーの入力文に付け加え，これをLLMに入力することで不適切な出力を抑制する，インコンテキスト防御が研究されている．しかし，従来手法は正当な入力に対しても回答を拒否するなどの性能劣化が報告されており，実運用でインコンテキスト防御を導入する障壁となっている．本稿では，LLMのジェイルブレイクに対するインコンテキスト防御の新規手法として，「役割明記法」を提案する．Llama-2-7b-chatを用いた実験で，提案手法は(1)回答性能を保持したままジェイルブレイクに対する防御性能を示し(2)従来手法と組み合わせることで回答性能と防御性能のよりよいバランスを達成した．
2025,3F5-OS-42b,3F5-OS-42b-04,（OS招待講演）安全な大規模言語モデルの構築と利用を目指して,,大規模言語モデル、安全性、バイアス,本講演では、合成データに基づく指示チューニングによる安全性の強化など、大規模言語モデル（LLM）の構築における安全性への取り組みに加えて、LLMの（言語横断的な）バイアス測定、自己改善によるバイアス除去、メンバーシップ推論攻撃とその回避策、LLM検出（LLMによって生成されたテキストかを識別すること）の頑健性向上など、LLMの利用における安全性に関する研究を紹介します。
2025,3F6-KS-18,3F6-KS-18-01,人工知能に関する特許の現状,,,2010年代から人工知能に関する特許申請は爆発的に増加，トランスフォーマ型深層学習の登場によって，その勢いは加速している。急増している人工知能に関する特許出願の動向及びその分析、人工知能に関わる国際標準の状況や政府の取組の紹介など、人工知能を取り巻く環境についてのセッションになるため、人工知能の今後の技術開発やその普及に深く関係する内容になっている。
2025,3G1-GS-6,3G1-GS-6-01,テキスト分類タスクに対する Integrated Gradients へのアブレーションテストの適用,,Integrated Gradients,Integrated Gradients (IG) は機械学習の分野で広く用いられている説明手法の 1 つである．IG の実行の際用いられるベースラインについての研究は，これまで画像処理タスクについてのものが多く，文章処理モデルについては活発な議論がされていない．本研究では，画像分類タスクで提案されている上位 k アブレーションテストをテキスト分類タスクに適用する．RACE データセットと livedoor ニュースコーパスでそれぞれ学習したモデルに対していくつかのベースラインで IG を実行し，その出力をもとにアブレーションテストを行う．その結果，使用するデータセットによって，評価が一番高いベースラインが変化することやいくつかのベースラインの評価順が完全に逆転することなど，アブレーションテストによるベースラインの評価が変化することが明らかとなった．
2025,3G1-GS-6,3G1-GS-6-02,大規模言語モデルのモデルマージにおける少量データに基づいたタスクベクトルの重み係数の学習,,モデルマージ、タスクベクトル、重み係数最適化,本研究では、LLM-AdaMergeを提案する。これは、複数の特化型大規模言語モデル（LLM）を効率的に統合するためにAdaMergingを拡張した手法である。既存のLLM統合手法は計算コストの観点から学習データの使用を避ける傾向にあり、これによりタスク間の相互作用が最適化されていなかった。我々のアプローチでは、効率的な計算オーバーヘッドで、データ駆動型の最適化を可能にした。タスク固有のパラメータ差分を組み合わせるための重み係数を直接最適化する言語モデリング損失関数を導入した。効果的な学習にはタスクあたりわずか4サンプルしか必要としない。3つの特化型Mistral-7Bベースモデル（数学、コード生成、日本語）を用いた実験では、ベースラインと比較して平均精度が最大12.95ポイント向上することを実証した。結果は、非データ駆動型手法やベイズ最適化アプローチと比較して、重みのみの更新による計算効率を維持しながら、優れた性能を示している。我々の手法は、複数の特化型LLMを組み合わせるための実用的なソリューションを提供するが、より多くのタスクへのスケーリングには依然として課題が残る。
2025,3G1-GS-6,3G1-GS-6-03,文長による内容語率の変化が引き起こす文ベクトルの品質低下,,自然言語処理、文埋め込み、文長,文や文書のベクトル化する技術は，いまや情報検索や文書分類など広範な自然言語処理アプリケーションの開発に不可欠となっている．しかし，文ベクトルの品質は長文では低下することが指摘されている．本稿では，文長によって文中の機能語や内容語の出現しやすさが変化することが，この文ベクトルの品質低下を引き起こすことを示す．まず，長文では内容語の割合が低下することを経験的・理論的に示す．次に，内容語の割合が小さくなることで異なるトピックの二文であっても文ベクトル同士の距離が小さくなることを，理論的・経験的に示す．これら二つの分析に基づき，文ベクトルの品質が長文では低下することを議論する．本稿で得られた結果は，内容語の影響力を文長に応じて動的に強める技術の必要性を示唆する．
2025,3G1-GS-6,3G1-GS-6-04,日本語での対話・作文性能に力点を置いた大規模言語モデルの開発,,大規模言語モデル、合成データ、GENIAC,近年，大規模言語モデル（LLM）が急速に進歩する一方，その開発は海外が先行しており，日本国内の開発力強化が求められる．本稿では，経済産業省とNEDOによるGENIACプロジェクトの採択事業者である，松尾・岩澤研究室によるLLM開発を報告する．本事業は，国内の人材育成と開発力強化を目標として，同研究室の運営の下，公募の有志が8 Bおよび，8×8 Bのモデルをフルスクラッチから開発した．開始時の2024年4月において，国内組織がフルスクラッチから開発したモデルは，対話・作文性能が十分とは言えず，海外の学習済みモデルをベースに日本語能力を強化する手法が優勢であった．本開発では，対話・作文性能の向上を目的に合成データを活用した学習を行った．当該性能の評価指標として一般的な”Japanese MT-Bench”において，8Bでは既存の10B級のモデルを上回り，8×8BモデルはGPT-3.5に匹敵し，国産フルスクラッチモデルではSOTA同等を実現した．開発したモデル・学習コードはApache License 2.0として公開しており，日本語LLMの学術研究や産業応用に貢献するものである．
2025,3G1-GS-6,3G1-GS-6-05,選好データの優先度付けによる効率的なLLMのアライメント,,ファインチューニング、人間のフィードバックによる強化学習、大規模言語モデル,大規模言語モデル（LLM）のアライメントにおいて、人間の選好に基づく直接選好最適化（DPO）は文章生成タスクの性能向上に有効であるが、高い計算コストが課題である。本研究では、計算資源が制約される環境での効率的なLLMのアライメントの実現を念頭に、計算コストを削減してDPOを実施するための、より優先度の高いデータから学習する新しい手法を提案する。具体的には、データサンプルごとにスコアを計算し、スコアの高い順にデータを選択することで、学習ステップ数を限定した環境でも効果的な学習を実現する。実験では、事前学習済みモデルと選好データセットを用いて一定のステップの学習を行い、外部報酬モデルによる評価を行った。その結果、提案手法は従来の方法と比較して同じ学習ステップ間の比較においてより効率的に学習を進めることを確認した。
2025,3G3-LS-12,3G3-LS-12-01,①インフォマートが保有する118万社の企業間取引データとAIを活用した分析について②データエコシステムのデザインー異分野データ連携技術の現在とこれからー,,,118万社の企業が利用する法人向け帳票デジタル化プラットフォームを運営するインフォマートが法人データ活用についてご説明いたします。また、インフォマートと共同研究を行っている東京大学大学院工学系研究科システム創成学専攻 早矢仕晃章先生にデータエコシステムのデザインについてご講演いただきます。
2025,3G4-GS-6,3G4-GS-6-01,多言語文符号化器からの言語非依存な文埋め込みの抽出,,埋め込み、言語横断,本研究では，多言語文符号化器から言語非依存な文埋め込みを抽出し，機械翻訳の品質推定や言語横断の文類似度推定に応用する．先行研究では，多言語文符号化器から得られる文表現に対して意味表現と言語表現をそれぞれ抽出し，前者を言語非依存な文埋め込みとして使用してきた．提案手法では，このアプローチに対して，意味表現と言語表現の分離を改善するための工夫を加える．実験の結果，機械翻訳の品質推定と言語横断の文類似度推定の両方において，既存手法を上回る性能を達成した．
2025,3G4-GS-6,3G4-GS-6-02,「生きづらさ」を抱える人のチャット相談へのLLMの適用可能性,,LLM、DPO、自殺対策,"日本は他の先進国と比べ自殺死亡率が高く, 自殺念慮や生きづらさを抱えた人の支援が社会課題となっている. 自殺志願者の低減や生きづらさを感じない社会を目指した取り組みとして, 民間団体等によるSNSを用いたチャット相談サービスがある. インターネット・ゲートキーパーと呼ばれるこれらのサービスは, 相談者の自殺念慮を低減する効果があることが報告されているが, 寄せられる相談数に対し支援者が不足している. 本研究では, 実際に運営されるチャット相談窓口でのやり取りのテキストデータ約13万件を用い, 大規模言語モデル(LLM)に指示チューニングをはじめとしたアラインメント(調整)を施すことで, 現場をサポートするためのLLMを作成した. 調整後のモデルでは, 実際の窓口相談スタッフの応答との類似度が上昇したうえに, 1応答当たりの丁寧語と傾聴表現の割合が増し, 危険な表現が減少したことから, チャット相談に対する応答生成モデルとしての適用可能性が示された."
2025,3G4-GS-6,3G4-GS-6-03,日本語アスペクトベース感情分析における Transformer 言語モデルを用いた多ラベル分類手法の性能向上手法の検討,,アスペクトベース感情分析、BERT、深層学習,多ラベル分類の一種であるアスペクトベース感情分析は文章にさまざまなアスペクト (観点) に基づく感情極性を付与するタスクであり，大規模なデータを活用するにあたり有用なタスクである．本研究では楠本が提案した Transformer 言語モデル BERT を主に用いたアスペクトベース感情分析モデル Mpm+T の改良手法を提案する．Mpm+T は複数の小分類器とそれらを要約して出力するメタモデルで構成されている．各小分類器は観点の個数に基づいて複数用意され，各観点の有無とその評価を推定する BERT ベースの 2 値分類器であり，それら小分類器の出力ベクトルをメタモデルが集約して多ラベル分類する．本研究では，小分類器の出力ベクトルのメタモデルへの入力のための集約手法を複数用意することでモデル全体の予測精度の向上を図った．さらに各小分類器の内部構造が等しい点に着目して，小分類器に対してモデルマージを適用することにより，メタモデルで用いる小分類器の数を節減を図った．そして実験により予測精度の劣化を抑えた学習効率と推論効率の向上を検証した．
2025,3G4-GS-6,3G4-GS-6-04,概念空間によるオノマトペの意味変化の可視化,,オノマトペ,日本語においてオノマトペは読み手に情景や心情を想起させ、文の詳細なニュアンス等を直感的に伝える役割を持つが、それらの想起されるものは時代によって変化する。これは現代のオノマトペの言語感覚のみを持つ者が過去の文学作品等を読解する際に問題となる。このような問題に対して、異なる年代におけるオノマトペを取り巻く概念の変化について知ることが有効である。よって、本研究では書かれた年代の異なる文章を元に、オノマトペを含む文について解析を行い、オノマトペと共起する語を元に構築された概念空間を年代別に比較可能な形で視覚化するシステムを開発する。本システムによってユーザは異なる時代におけるオノマトペに関する概念を獲得し、その違いを理解できる。したがって、過去の文学作品等のニュアンスをより正確に把握することが可能となる。
2025,3G4-GS-6,3G4-GS-6-05,レシピ文で学習した Semantic Entropy Probes による数学問題解答の不確実性推定,,ハルシネーション、semantic entropy,本研究では，大規模言語モデルの信頼性指標として注目される semantic entropy を推定する手法である Semantic Entropy Probes (SEPs)を用い，レシピ文で学習したロジスティック回帰モデルを数学問題の解答文に適用できるかどうかを検証した．学習には，日本語特化の Decoder-only モデルから抽出した隠れ状態と，NLI モデルでクラスタリングした結果を基に算出した semantic entropy を閾値で 2 値化したラベルを特徴量として使用した．数学問題の解答文の不確実性および論理的整合性を推定した結果，レシピ文で学習したモデルでも数学解答文の不確実性をある程度推定できる可能性が示唆された．閾値設定の違いが AUC に大きく影響し，不確実性より論理的整合性を予測する方が容易な場合があることも示唆された．今後は，数学分野をはじめとする多様な領域に適合した NLI モデルの開発に加え，semantic entropy の算出手法やラベル付け方法の改良を通じた精度向上が課題となる．
2025,3G5-GS-6,3G5-GS-6-01,文長制限を設けた問題文による早押しクイズ用Retrieverの学習,,大規模言語モデル、質問応答、クイズ,早押しクイズの解答タスクでは、Retrieverによって問題文に関連する情報を抽出し、Readerによって問題文と関連情報から答えを導き出すRetriever-Reader方式が主流である。しかし、一般的にRetrieverの学習は問題文の全文を用いて行うのに対し、早押しクイズでは問題文の途中までの情報しか与えられないため、学習時の設定と解答時の状況に乖離がある。この問題に対処するため、本研究ではRetrieverの学習時に用いる問題文の長さを制限し、カリキュラム学習を行う。その結果、問題文中の複数のタイミングにおいて高い性能を達成する汎用的なモデルの作成に成功した。さらに、問題文の形式による分析を行い、学習時の文長と問題文の形式の相性によってRetrieverの性能が変化することを明らかにした。
2025,3G5-GS-6,3G5-GS-6-02,音声アクティビティ予測を利用した音声対話システムの構築と自然さの客観評価,,大規模言語モデル、対話システム、ターンテイキング、自然言語処理、あいづち,自然言語処理技術の進展に伴い，連続音声を扱う対話システムが普及しつつある．特にあいづちを打つ対話システムの応答は，応答速度の遅延や発話中の割り込みにより自然な会話を損なうが，あいづちと本文の分離が困難のため評価が難しい．本研究では，あいづちを含む自然なやりとりを実現するため，ターンテイキングに着目し，VAP（Voice Activity Projection）を応用した対話システムを構築した．会話の開始終了時刻を予測し，あいづちや割り込み発話を区別可能にする．実験により自然さの向上が確認され，今後の対話システム開発において有効となることを確認した．
2025,3G5-GS-6,3G5-GS-6-03,対話システムにおける相槌の品質評価基準の検討および品質評価システム構築の試み,,大規模言語モデル、対話システム、生成AI、自然言語処理、あいづち,大規模言語モデル（ Large Language Model; LLM ）を用いた対話システムにおいて、即時応答性や共感性を向上させるためには、質の高い相槌を生成する技術が求められる。本研究では、対話システム開発を支援するため、相槌の品質を定量的かつ自動的に評価可能なシステムを構築した。 相槌の品質評価基準を検討するため、対話システムの会話台本を作成し、それに記載された相槌について一対比較法による主観評価を実施した。評価対象の相槌は、文脈との整合性、口調の一貫性、長さといった要素に基づきバリエーションを準備した。また、自動評価環境としてChatGPTを使用し、相槌の品質を採点するシステムを構築した。結果として、一対比較法による主観評価により、相槌のバリエーションに関するデータが得られ、文脈との整合性、口調の一致、長さについての人間的な評価尺度が明らかになった。また、自動評価システムによる結果と主観評価結果との相関について調査し、本自動評価システムの有効性を検討した。
2025,3G5-GS-6,3G5-GS-6-04,依存型理論のための自動定理証明器Neural Waniの開発に向けて,,依存型理論、形式意味論、自動定理証明器,waniは依存型理論(DTT)の自動定理証明器であり，自然言語推論への言語学的アプローチとして提案されたパイプラインの一部である．しかし，DTTにおける証明探索は決定不能であるため，waniの実行速度はパイプラインのボトルネックの1つとなっている．そこで，次に適用する規則を選択するニューラル分類器を実装することで，waniの実行速度を向上させるプロジェクト「Neural Wani」を立ち上げた．本研究では，Neural Waniプロジェクトの一環として，証明探索よりも一段階難易度の低いタスクである型検査のためのニューラル分類器を実装した．また，DTTの型判定を埋め込むための複数の異なる手法を比較し，評価した．
2025,3G5-GS-6,3G5-GS-6-05,音声と言語のマルチモーダル融合に基づく感情認識モデルの提案,,マルチモーダル感情認識、Transformer、Self-Attention,マルチモーダル感情認識は、音声、言語、画像など複数のモダリティを統合することで、人間の感情をより包括的かつ正確に識別・分析する技術である。近年のAIによる対話の分野においても円滑な対話を実現するために必要不可欠な技術の一つである。音声や言語など異なるモダリティのデータを融合することで、シングルモーダル感情分析では考慮できない異モダリティ間の相互作用や相関性を考慮し、感情認識の汎用性と精度の向上が期待できる。本研究では、Transformerモデルを基盤として、音声と言語を入力とするマルチモーダル感情分析モデルを構築した。このモデルは、音声および言語情報それぞれのTransformerエンコーダの出力を連結したものに対しSelf -Attentionを適用することにより、音声と言語の関連性を保ったまま融合することを可能にしている。本稿では、感情認識タスクの標準データセットであるCMU-MOSEIに対し、複数の既存手法との比較評価実験を実施し、提案モデルの性能を検証し、感情認識におけるマルチモーダル融合の優位性を確認した。
2025,3G6-GS-6,3G6-GS-6-01,最大トークン数を考慮した大規模言語モデルの文法制約つき文章生成手法,,大規模言語モデル、構造化生成、文脈自由文法,大規模言語モデル(LLM)による文章生成では、JSONやプログラミング言語など特定の構造に沿った出力の有用性が注目されている。そこで、指定した文法に必ず従うようにLLMの出力トークンをコントロールする手法がいくつか提案されているが、実用上で必須となる出力トークン数の制限を考慮していないため、生成が途中で打ち切られ文法的に正しくない結果になることがあった。我々は、LL(1)文法の解析器を活用することで、最大出力トークン数を考慮した文法的に正しい文章生成を実現し、最大トークン数に厳しい制約を課したJSON生成ベンチマークで既存手法と比べて正解率を約20ポイント向上させ、さらにほぼ全てのケースでJSON文法に追従させられることを確かめた。
2025,3G6-GS-6,3G6-GS-6-02,言語教育学の知見に基づく雑談対話システムにおける共有発話生成のためのプロンプト設計,,対話システム、プロンプト、共有発話,現代社会において、高齢者の単独世帯の増加に伴う社会的孤立や孤独感の問題が深刻化している。この問題に対する解決策として、雑談対話システムが注目されている。本研究では、利用者とシステムとの間で、共通して認識している知識や経験を基に発話を行う行為である「共有」に基づく「共有型雑談」に焦点を当てた雑談対話システム構築を目指した。本システムは、言語教育学の知見を取り入れた発話類型の理論に基づき、共通の知識・経験を共有しながら共感を促進する自然な雑談を生成することを目的とする。この目的の達成のため、初期段階としてテキストベースの対話に焦点を当て、プロンプト設計及び改善を行った。本論文では、言語教育学の知見を基に「共有」の概念とその具体的な発話例をプロンプトに記載し、Few-shot学習によって共有発話の生成を可能にした。
2025,3G6-GS-6,3G6-GS-6-03,埋め込み表現のコサイン類似度を用いた打ち切り判定による音声対話システムの応答遅延の改善,,音声対話システム、応答遅延、コサイン類似度、大規模言語モデル,音声対話システムにおける応答遅延を削減するために，ユーザの発話を途中で打ち切り，不完全な発話文に対して大規模言語モデル(LLM)で応答文を作成する手法について検討した．LLMの応答性能(応答内容が妥当である割合)には，テキストの意味的な類似性の変化が関わっていると考えられる．そこで，その変化に応じた打ち切りポイントを決定するための手法を3つ提案し，それらの有効性を示した．その結果，提案した打ち切り判定手法Ⅰ(微分量による判定)では，Temperatureを0.7にした場合にLLMの応答性能を80[%]以上に保ったまま，平均で10.7文字の日本語を削減することができた．また，LLMの応答性能を75[%]程度に妥協した場合は，提案した打ち切り判定手法Ⅲ(微分量による判定の後にマージンnを設けた判定)において，平均で16.4文字の日本語を削減することができた．日本語の発声速度は，1秒当たり6文字になるので，LLMの応答性能を80[%]以上に保つ場合は約1.8秒，LLMの応答性能を75[%]程度に妥協した場合は約2.7秒に相当し，これと同程度の応答遅延を短縮することができると考えられる．
2025,3G6-GS-6,3G6-GS-6-04,傾聴タイプの指示に基づく傾聴応答生成,,傾聴対話、対話モデル、ファインチューニング,近年，日本の総人口に占める高齢者人口の割合は過去最高となり，日本における高齢化が進むと同時に要介護者数も増加している．介護現場において，高齢者の発言に対して傾聴，尊重，共感することは信頼関係を築くために重要であり，一つの実現手段として「バリデーション」がある．しかし，介護士の人材不足や介護負担等の問題から個人に十分な時間をかけてケアすることが困難である．本研究では介護環境の改善を目指して，バリデーションを活用した対話システムの構築を目的とする．著者らの先行研究では，RAGを利用した傾聴応答生成モデルの性能を検証したが，尊重応答と共感応答の生成については課題が残った．そこで本稿では，傾聴対話モデルをファインチューニングすることで，尊重応答や共感応答といった傾聴タイプの指示に基づいて応答が生成できるように改善する．実験の結果，指示した傾聴タイプに基づいて傾聴応答が生成できるようになり，対話制御につながる知見が得られた．
2025,3G6-GS-6,3G6-GS-6-05,小説台詞からの登場人物と発話者に紐づく人間関係語の抽出,,人間関係、関係抽出、対話システム,日常対話を目的とした非タスク指向型対話システムは，ユーザと長期的な信頼関係を構築するために，深く対話を継続する必要がある．このシステムを実現するには，ユーザ個々の情報を把握し，活用する必要がある．本研究では，ユーザの人間関係に関する情報に着目する．対話を通じて人間関係を抽出する方法を検討するには，人間関係を含む対話コーパスが必要になる．しかし，既存の対話コーパスには，個人の人間関係を含む会話が含まれていない．そこで，本研究では日常会話の代替として，現実世界を舞台とした小説の台詞を活用する．著者らの先行研究では，人間関係を抽出する手法の初期検討として，台詞に登場する人物とその人物に紐づく人間関係語を抽出するモデルを構築し，その性能を評価した．本稿では，台詞に明示的に記述されていない発話者の人間関係にも着目し，発話者と登場人物に紐づく人間関係語を同時に抽出するモデルを検討する．実験の結果，発話者と登場人物に紐づく人間関係語を個別に抽出するモデルと比較して，提案モデルは，抽出性能をほとんど損なうことなく，それぞれに紐づく人間関係語を同時に抽出できることを確認した．
