大会年度,セッションID,発表ID,発表タイトル,発表サブタイトル,キーワード,要約
2018,1D1,1D1-02,災害前後SAR画像とDEMデータを用いたCNNによる土砂災害検出,,土砂災害検出、畳込みニューラルネットワーク、衛星画像,土砂災害が発生した場合、災害検出の方法として合成開口レーダ(SAR)画像を用いたリモートセンシングが注目されている。しかし、広域なSAR画像判読には多くの人員と時間が必要となる問題がある。そこで、本研究では土砂災害検出に対するリモートセンシングをCNNによって機械的に行う手法を提案する。入力するデータとしては災害前後のSAR画像と、標高データ(DEM)を用いた。実験の結果、未知領域における災害地域、非災害地域という識別の精度は75.56%となった。また、災害と識別した地域と、実際の災害地域の合致割合は(IoU)は21.86%であった。これらの結果から、災害前後のSAR画像、DEMデータの特徴を考慮してCNNによって土砂災害地域の識別、検出を行えられたと考えられる。
2018,1D1,1D1-03,学習事例を上回る大洪水に対する深層学習水位予測モデルの検証,,洪水予測、深層学習、外挿問題,洪水氾濫災害に対するソフト対策として，洪水予測の精度向上は重要である．洪水予測にはして様々な手法が提案されており，そのうちの一つにニューラルネットワーク（ANN）によるものがある．これまでの研究で，様々な河川においてANNモデルの適用性が報告されているが，他の手法と比べた精度の優位性は示されておらず，全国の洪水予測システムなどで実用に至っている例は少ない．また，ANNをはじめとする機械学習モデルの一般的な弱点として，学習事例を上回るような事例に対しては予測性能が担保されない，という点が挙げられる．洪水予測においては，学習事例を上回るような大規模洪水への対応こそが重要である．そのため，ＡＮＮによる洪水予測モデルは十分な信頼性を得られておらず，防災現場への実用化が進んでいない．こうした課題への対応として，本検討では2016年の台風10号で生じた網走川における過去最大の洪水事例を対象として，ANN洪水予測モデルの適用検討を行った．学習事例を上回るような高い水位の洪水に対しても，「水位変化」に着目して学習を行うことで，予測モデルの適用性が保たれることを示した．
2018,1D1,1D1-04,不十分な情報下での緊急度と効率的な網羅を考慮した経路探索システム,,経路探索、無人航空機、防災,本論文では，不十分な情報下での緊急度と効率的に網羅を考慮した経路探索システムを提案し，そのためのアルゴリズムをシミュレーションにより評価した．提案手法の特徴は，残余領域をできるだけひとかたまりになるように経路を決定することで，徐々に情報が明らかになるような状況においても極端な性能劣化を防ぐことにある．シミュレーション評価実験を行った結果，本手法は単純に緊急度の高いノードから回る手法と比べて，締切時間をどれだけ遵守できたかの評価に関して平均29.43%の効率化を確認した．加えて，どれだけ短い航空時間で網羅できたかの評価に関して，全経路の航空時間を平均36.52%削減することができた．
2018,1D1,1D1-05,ユーザ行動に基づくモバイルネットワーク故障検知と予測,,イベント検知、ユーザ行動、ネットワーク故障,モバイルネットワークサービス提供社の課題の一つが安定した高品質なサービス提供である．しかしながら，ネットワークトラフィックの急増や設備の経年劣化がスループットの低下などの品質劣化やネットワーク故障を引き起こすことがある．そのような問題において，サービス利用者はサービス提供社よりも早くサービスの使用不能や品質劣化を発見することがある．利用者は彼らの体感をすぐにソーシャルサービス上で発信したり，故障情報を得るためのWeb検索などを迅速に行う．これらのデータから異常を検知することで，故障検知および予測に役立つと考えられる．この論文では，複数のユーザ行動データを用いて，故障を検知および予測するための機械学習モデルアプローチを提案する．モバイルネットワークサービスの実データを用いた複数の実験により，提案するフレームワークの有用性を検証する．
2018,1D2-OS-28a,1D2-OS-28a-01,多段階市民参加プロセスによる政策決定：札幌市環境基本計画策定事例,,多段階市民参加プロセス、バックキャストシナリオワークショップ、社会的意思決定,本発表では，政策決定における多段階による市民参加プログラムの重要性について，札幌市における環境基本計画策定事例を紹介しながら示す．札幌市では，希望者が誰でも参加できる公募による方式と，無作為抽出で選ばれた市民が参加する方式の両方からなる市民参加プログラムを行った．市民参加プログラムは計画策定の初期段階から最終段階に至る3段階でデザインされた．その市民参加プログラムでは，バックキャストシナリオワークショップを用いた．これは，理想の未来像を描くことを出発点とし，そこから現在に向かって今行うべきことを考えるという枠組みで議論するものである．本発表では，段階ごとに異なる市民参加の役割について論じた．さらに，バックキャストシナリオワークショップの利点と留意点について論じた．最後に，本アプローチの限界をふまえ，AIへの期待を述べた．
2018,1D2-OS-28a,1D2-OS-28a-02,大規模社会実験における合意形成支援システムの検証,,合意形成、社会実験、大規模,合意形成に向けたワークショップの実施は，人的，時間的，空間的な制約がある。ゆえに，多数の市民が参加することは困難である．我々は，議論を支援する合意形成支援システムを開発してきた．しかし，500人を超える大規模社会実験の実施は困難であるため，その規模における支援システムの検証はされていない．そこで，本研究では名古屋市におけるプレイス・ブランディングに支援システムを用いた大規模社会実験をおこない，効果と課題を検証する．この検証により，支援システムを用いた議論は，参加者を満足させる効果があるとわかった．
2018,1D2-OS-28a,1D2-OS-28a-03,自律的ファシリテータエージェントのための内容とプロセスを考慮した議論文脈理解モデルの検討,,ファシリテーション、議論理解、行動選択,本稿では，議論ファシリテータエージェントの実装のために必要な議論文脈理解モデルとして，議論内容の理解モデルと，議論プロセスの理解モデルを検討する．まず共通する要素として，「議論の場」に関するパラメータを定式化する．ファシリテーションにおいては構造の時間変化が重要なため，時刻tを重視した定式化を提案する．議論内容の理解においては，gIBISやDeliberatorium等で伝統的に用いられているような，論点（課題）と案から成る構造が必要と考え，定式化を検討する．また，議論プロセスの理解においては，参加者の関係性変化や「場の空気」に関するパラメータの定式化について述べる．更に，これらのパラメータの推定結果を用いたファシリテータエージェントの行動決定や質問生成手法を検討する．
2018,1D2-OS-28a,1D2-OS-28a-a,(OS招待講演)自然言語処理による議論マイニング,,,
2018,1D3-OS-28b,1D3-OS-28b-01,ファシリテーター支援を目的としての分散表現を用いた話題変化判定,,自然言語処理、COLLAGREE、議論支援,近年，Web上での大規模な議論活動が活発になっている．Web上での大規模合意形成を実現するために，伊藤孝行研究室では過去に大規模意見集約システムCOLLAGREEを開発した．COLLAGREE ではファシリテーターによる適切な議論プロセスの進行を行っている．しかし，ファシリテーターは人間であり，長時間に渡って大人数での議論の動向をマネジメントし続けるのは困難である．ファシリテーターの代わりに自動的に議論中の話題の変化を事前に判定することが求められている．分散表現は単語の共起頻度に基いて類似度を計算しており対義語に対応できない点が弱点とされるが，議論話題においては対義語かどうかは関係なく同じテーマ(話題)に沿っているかが重要である．故に，分散表現における類似度計算は話題変化判定と相性が良いと考えられる．本研究では分散表現を用いてファシリテーターの代わりに自動的に話題の変化を判定することを目標とする．評価実験は提案手法と分散表現を用いない比較手法とで行い，提案手法の方が高い精度で話題の変化を判定できることを確認する．
2018,1D3-OS-28b,1D3-OS-28b-02,対称性を満たすM凸集合の和集合で表現される制約を扱うマッチングメカニズムの提案,,マッチング問題、戦略的操作不可能性、M凸集合,本論文では，対称性を満たすM凸集合の和集合で表現される制約を新たに導入する．この制約は，M凸集合より広い制約であり，現実のマッチング問題に幅広く応用できる制約である．凸性は和集合で閉じていないので，対称性を満たすM凸集合の和集合は一般にM凸集合ではない．よって，公平性，戦略的操作不可能性を満たし，M凸集合より広い制約のクラスを扱うメカニズムの考察は理論的に意義のある課題である．そこで，人為的に定められた上限を段階的に減少させながら，Deferred Acceptance メカニズム (DA) を繰り返し適用するQuota Reduction Deferred Acceptance メカニズム (QRDA) を新たに提案する．QRDAは公平性，戦略的操作不可能性を満たし，対称性を満たすM凸集合の和集合で表現される制約を扱う．また，QRDAは基準メカニズムであるArtificial Cap Deferred Acceptance メカニズム (ACDA) より学生の満足度が高いことを理論的，実験的に示した上で，非浪費性の観点からもQRDAはACDAより優れていることを評価実験により示す．
